filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
B71example0.fast5	017966a9-29a3-47aa-aebe-9bdea2becf9e	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	265	1	54908.855750	22.947250	18357	TRUE	54909.103250	18159	22.699750	8498	12.772710	3.053154	80.365128	9.847805	80.365128	9.847805
B71example0.fast5	0f86cd7f-9bbb-4b64-a802-95165d69b3a8	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	90	3	22029.987500	38.844250	31075	TRUE	22030.085000	30997	38.746750	14477	15.269475	3.086334	80.189270	10.551220	80.189270	10.551220
B71example0.fast5	133abf72-fb73-4528-a69a-3edba9c0a6fa	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	493	2	60877.128500	3.240000	2592	TRUE	60877.429750	2351	2.938750	1015	12.912265	2.960593	84.409760	9.847805	84.409760	9.847805
B71example0.fast5	19ff1eff-0104-45b3-afa2-bd455bdbcac2	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	498	4	39922.637500	32.321750	25857	TRUE	39922.783750	25740	32.175500	12294	13.329166	3.076263	77.199760	9.847805	77.199760	9.847805
B71example0.fast5	026b6bf4-4ba7-4df3-983d-290fcb1090f2	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	172	3	39921.969250	82.254500	65803	TRUE	39922.068000	65724	82.155750	28306	14.037503	2.992996	75.089516	10.199512	75.089516	10.199512
B71example0.fast5	1543e847-c125-4a04-b880-287b6b85ae5e	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	196	4	116261.929000	94.315750	75452	TRUE	116262.320250	75139	93.924500	29613	12.308955	2.858931	63.659027	8.440976	63.659027	8.440976
B71example0.fast5	0794bce1-3937-4372-8f50-ccd1af8a296e	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	112	1	130081.800500	71.261500	57009	TRUE	130081.886750	56940	71.175250	22165	15.059686	2.910505	76.672203	9.847805	76.672203	9.847805
B71example0.fast5	8d6e7315-bbee-4144-b292-2fd11d2a1058	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	484	4	24826.524750	52.011000	41608	TRUE	24826.596000	41551	51.939750	18774	15.077008	3.064182	77.903175	10.023659	77.903175	10.023659
B71example0.fast5	953a7f8a-b58a-4ca2-97aa-79f9df5252a2	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	308	3	11006.213250	9.383750	7507	TRUE	11006.277000	7456	9.320000	3530	15.360243	3.102222	78.782440	9.847805	78.782440	9.847805
B71example0.fast5	1e615687-2300-418e-a140-a403cb616032	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	132	1	112.795250	67.034000	53627	TRUE	112.866500	53570	66.962750	25579	15.902962	3.129749	82.299515	10.375366	82.299515	10.375366
